trade_date	stock_code	stock_name	open_price	highest_price	lowest_price	close_price	turnover_volume	turnover_amount
2000/09/08	399002	深成指R	5400.63	5444.3	5393.35	5423.83	8251111	7844489216
2000/09/11	399002	深成指R	5436.87	5441.04	5390.97	5430.38	8618590	7684291072
2000/09/12	399002	深成指R	5436.42	5467.71	5417.42	5464.82	7845661	7784948224
2000/09/13	399002	深成指R	5465.27	5539.9	5461.93	5509.43	13028035	10602435584
2000/09/14	399002	深成指R	5514.15	5524.5	5437.65	5457.3	10682605	8733807616
2000/09/15	399002	深成指R	5445.35	5448.01	5399.22	5436.76	7407400	7555213824
2000/09/18	399002	深成指R	5441.3	5441.39	5341.96	5347.89	7188642	7239392768
2000/09/19	399002	深成指R	5325.65	5325.65	5202.17	5217.92	9838261	8630537216
2000/09/20	399002	深成指R	5208.7	5274.62	5183.28	5264.69	7883890	8079958016
2000/09/21	399002	深成指R	5273.77	5287.3	5222.37	5228.57	7488684	6461752832
2000/09/22	399002	深成指R	5220.82	5220.82	5157.05	5169.09	6469934	5695771136
2000/09/25	399002	深成指R	5163.08	5179.98	5118.64	5122.33	5764606	4895685120
2000/09/26	399002	深成指R	5125.25	5182.87	5125.25	5180.4	6533321	6495691776
2000/09/27	399002	深成指R	5187.42	5253.41	5186.32	5253.29	5734240	5496366080
2000/09/28	399002	深成指R	5258.63	5267.25	5157.19	5164.15	6430110	5385564160
2000/09/29	399002	深成指R	5167.1	5234.68	5167.1	5232.58	5057562	5388027904
2000/10/09	399002	深成指R	5245.96	5256.96	5180.02	5215.67	5296532	5399754240
2000/10/10	399002	深成指R	5218.79	5290.49	5210.48	5289.04	7514727	7155368960
2000/10/11	399002	深成指R	5307.21	5318.04	5265.17	5273.22	6867701	7334660096
2000/10/12	399002	深成指R	5269.11	5269.54	5195.49	5223.12	9791241	8547107840
2000/10/13	399002	深成指R	5215.15	5243.96	5177.22	5186.91	8870600	8276084224
2000/10/16	399002	深成指R	5183.42	5192.07	5149.23	5171.64	6431317	6804422144
2000/10/17	399002	深成指R	5172.58	5198.86	5162.84	5198.26	5879040	5530295808
2000/10/18	399002	深成指R	5210.54	5271.2	5204.59	5270	6476135	6673696768
2000/10/19	399002	深成指R	5270.9	5288.24	5213.4	5223.44	6343450	6131703808
2000/10/20	399002	深成指R	5219.98	5337.27	5217.08	5334.9	9224896	10416400384
2000/10/23	399002	深成指R	5359.66	5368.64	5308.65	5335.98	9259484	9785620480
